Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2000,120,2,0,H0,270900,8,5383313254,5383313254,875340118,0
2000,120,2,124,H0,270900,8,98624000,98624000,11420267,0
2000,120,2,140,H0,270900,8,15,15,161,0
2000,120,2,156,H0,270900,8,543879000,543879000,97239962,0
2000,120,1,226,H0,270900,8,94789900,94789900,21336112,0
2000,120,2,226,H0,270900,8,193,193,295,0
2000,120,1,251,H0,270900,8,4,4,22,0
2000,120,2,251,H0,270900,8,262681672,262681672,36144682,0
2000,120,2,381,H0,270900,8,2355652200,2355652200,381334080,0
2000,120,2,384,H0,270900,8,470,470,568,0
2000,120,2,490,H0,270900,8,1255182700,1255182700,202231675,0
2000,120,2,528,H0,270900,8,53689000,53689000,6985300,0
2000,120,1,566,H0,270900,8,1259633567,1259633567,283484182,0
2000,120,2,724,H0,270900,8,382516300,382516300,70331074,0
2000,120,2,826,H0,270900,8,106,106,1074,0
2000,120,2,837,H0,270900,8,54362000,54362000,9916332,0
2000,120,2,842,H0,270900,8,107079298,107079298,13641019,0
2000,120,2,899,H0,270900,8,269646300,269646300,46093629,0
2000,124,1,0,H0,270900,7,53037097178,45603694908,9202107013,0
2000,124,2,0,H0,270900,7,79984176538,68774012500,13051217731,0
2000,124,1,12,H0,270900,7,4466329794,3840352359,807041036,0
2000,124,1,24,H0,270900,7,177359898,152502062,28274590,0
2000,124,1,36,H0,270900,7,510918984,439311250,91681960,0
2000,124,1,120,H0,270900,7,199828986,171822000,38392998,0
2000,124,1,276,H0,270900,7,9013,7750,1688,0
2000,124,1,364,H0,270900,7,306160113,263250312,41600767,0
2000,124,1,368,H0,270900,7,2696855345,2318878199,460690994,0
2000,124,1,392,H0,270900,7,9013,7750,506,0
2000,124,1,484,H0,270900,7,1337839768,1150335140,211715227,0
2000,124,1,528,H0,270900,7,11580082,9957078,2112370,0
2000,124,1,530,H0,270900,7,26118699,22458039,4777380,0
2000,124,1,566,H0,270900,7,1632879865,1404023960,299506834,0
2000,124,1,579,H0,270900,7,15321777422,13174357199,2680084457,0
2000,124,1,643,H0,270900,7,733105918,630357625,111526260,0
2000,124,1,682,H0,270900,7,3192151482,2744756218,503781244,0
2000,124,1,724,H0,270900,7,57373324,49332179,10414360,0
2000,124,1,757,H0,270900,7,121156833,104176125,17218028,0
2000,124,1,760,H0,270900,7,108113424,92960812,19595721,0
2000,124,1,826,H0,270900,7,16620562160,14291111058,2951706080,0
2000,124,1,842,H0,270900,7,1062321197,913431812,172298802,0
2000,124,2,842,H0,270900,7,79984176538,68774012500,13051217731,0
